syllable,latin,count,first_file
ट्ठिं,ṭṭhiṃ,2657,s0101m.mul.xml
ठो,ṭho,2655,s0101m.mul.xml
न्दं,ndaṃ,2615,s0101m.mul.xml
ण्डु,ṇḍu,2608,s0101m.mul.xml
न्दे,nde,2569,s0101m.mul.xml
ड्ढि,ḍḍhi,2564,s0101m.mul.xml
म्य,mya,2552,s0102m.mul.xml
ट्टे,ṭṭe,2467,s0102m.mul.xml
ण्ठि,ṇṭhi,2450,s0101m.mul.xml
ळे,ḷe,2396,s0101m.mul.xml
ण्डो,ṇḍo,2383,s0101m.mul.xml
व्हा,vhā,2354,s0101m.mul.xml
त्व,tva,2334,s0101m.mul.xml
ळु,ḷu,2318,s0101m.mul.xml
छे,che,2310,s0101m.mul.xml
म्भे,mbhe,2302,s0101m.mul.xml
विं,viṃ,2286,s0101m.mul.xml
गू,gū,2272,s0101m.mul.xml
म्ह,mha,2206,s0101m.mul.xml
णिं,ṇiṃ,2183,s0101m.mul.xml
हुं,huṃ,2147,s0102m.mul.xml
म्भो,mbho,2142,s0101m.mul.xml
फो,pho,2138,s0101m.mul.xml
क्रि,kri,2137,s0201m.mul.xml
ब्भु,bbhu,2136,s0101m.mul.xml
ह्मा,hmā,2127,s0101m.mul.xml
म्बि,mbi,2125,s0101m.mul.xml
ञ्हा,ñhā,2118,s0102m.mul.xml
लू,lū,2103,s0101m.mul.xml
त्वे,tve,2101,s0101m.mul.xml
क्य,kya,2094,s0101m.mul.xml
रुं,ruṃ,2076,s0101m.mul.xml
ण्णि,ṇṇi,2067,s0101m.mul.xml
द्धु,ddhu,2040,s0101m.mul.xml
ब्रू,brū,1951,s0101m.mul.xml
च्छं,cchaṃ,1932,s0101m.mul.xml
त्या,tyā,1930,s0101m.mul.xml
टु,ṭu,1912,s0101m.mul.xml
ठे,ṭhe,1905,s0101m.mul.xml
ड्ढे,ḍḍhe,1875,s0102m.mul.xml
न्हा,nhā,1864,s0101m.mul.xml
ङ्के,ṅke,1804,s0101m.mul.xml
ण्ही,ṇhī,1801,s0101m.mul.xml
ट्टि,ṭṭi,1767,s0101m.mul.xml
लिं,liṃ,1757,s0101m.mul.xml
स्वे,sve,1742,s0101m.mul.xml
न्था,nthā,1736,s0101m.mul.xml
च्छो,ccho,1716,s0101m.mul.xml
ञ्हं,ñhaṃ,1700,s0101m.mul.xml
ग्घा,gghā,1697,s0101m.mul.xml
ळं,ḷaṃ,1636,s0101m.mul.xml
स्सू,ssū,1622,s0101m.mul.xml
जिं,jiṃ,1614,s0101m.mul.xml
ब्भि,bbhi,1609,s0101m.mul.xml
म्पी,mpī,1602,s0101m.mul.xml
ण्हं,ṇhaṃ,1589,s0101m.mul.xml
स्मी,smī,1570,s0101m.mul.xml
प्पी,ppī,1558,s0101m.mul.xml
जू,jū,1553,s0101m.mul.xml
ङ्कु,ṅku,1539,s0101m.mul.xml
ब्भो,bbho,1533,s0101m.mul.xml
ळी,ḷī,1495,s0101m.mul.xml
ण्ट,ṇṭa,1492,s0101m.mul.xml
न्तुं,ntuṃ,1472,s0102m.mul.xml
ड्डे,ḍḍe,1448,s0102m.mul.xml
णू,ṇū,1446,s0101m.mul.xml
म्पे,mpe,1409,s0101m.mul.xml
ज्झं,jjhaṃ,1403,s0101m.mul.xml
त्थिं,tthiṃ,1401,s0101m.mul.xml
पुं,puṃ,1393,s0102m.mul.xml
त्य,tya,1375,s0102m.mul.xml
ण्हे,ṇhe,1364,s0101m.mul.xml
म्बा,mbā,1358,s0101m.mul.xml
ळ्हं,ḷhaṃ,1339,s0101m.mul.xml
ञ्हो,ñho,1326,s0101m.mul.xml
च्छिं,cchiṃ,1308,s0101m.mul.xml
म्ही,mhī,1301,s0102m.mul.xml
न्तू,ntū,1283,s0102m.mul.xml
ळो,ḷo,1281,s0101m.mul.xml
चिं,ciṃ,1277,s0102m.mul.xml
ळ्हो,ḷho,1270,s0101m.mul.xml
युं,yuṃ,1268,s0102m.mul.xml
म्भू,mbhū,1266,s0301m.mul.xml
ङ्घि,ṅghi,1259,s0102m.mul.xml
ङ्को,ṅko,1249,s0102m.mul.xml
ट्टं,ṭṭaṃ,1236,s0101m.mul.xml
न्धु,ndhu,1231,s0101m.mul.xml
ग्गु,ggu,1227,s0102m.mul.xml
द्धी,ddhī,1225,s0102m.mul.xml
न्दु,ndu,1225,s0101m.mul.xml
